Segment,(1) User signed in,(2) offer list page printed
1008117,1,0
1008136,1,0
1008166,1,0
1008187,1,0
1008253,1,0
1008254,1,0
1008277,1,0
1008283,1,0
1008298,1,0
1008321,1,0
1008330,1,0
1008336,1,0
1008340,1,0
1008367,1,0
1008368,1,0
1008416,1,0
1008452,1,0
1008484,1,0
1008497,1,0
1008499,1,0
1008516,1,0
1008528,1,0
1008534,1,0
1008577,1,0
1008582,1,0
1008635,1,0
1008637,1,0
1008638,1,0
1008648,1,0
1008649,1,0
1008655,1,0
1008681,1,0
100870,1,0
1008703,1,0
1008708,1,0
1008745,1,0
1008782,1,0
1008834,1,0
1008850,1,0
1008892,1,0
1008897,1,0
1008912,1,0
1008922,1,0
1008925,1,0
1008930,1,0
1008947,1,0
1008966,1,0
1008973,1,0
1008998,1,0
1009033,1,0
1009078,1,0
1009089,1,0
1009095,1,0
1009105,1,0
1009152,1,0
1009188,1,0
1009230,1,0
1009236,1,0
1009250,1,0
1009251,1,0
1009260,1,0
1009275,1,0
1009281,1,0
1009296,1,0
1009304,1,0
1009316,1,0
1009322,1,0
1009463,1,0
1009488,1,0
1009504,1,0
1009545,1,0
1009573,1,0
1009607,1,0
1009610,1,0
1009623,1,0
1009657,1,0
1009663,1,0
1009713,1,0
1009715,1,0
1009760,1,0
1009761,1,0
1009810,1,0
1009835,1,0
1009848,1,0
1009896,1,0
1009953,1,0
1010012,1,0
1010043,1,0
1010075,1,0
1010110,1,0
1010117,1,0
1010125,1,0
1010129,1,0
1010143,1,0
1010155,1,0
1010158,1,0
1010164,1,0
1010181,1,0
1010225,1,0
1010251,1,0
1010277,1,0
1010286,1,0
1010304,1,0
1010335,1,0
1010359,1,0
1010365,1,0
1010369,1,0
1010392,1,0
1010400,1,0
1010412,1,0
1010433,1,0
1010519,1,0
1010557,1,0
1010574,1,0
1010577,1,0
1010615,1,0
1010622,1,0
1010630,1,0
1010658,1,0
1010707,1,0
1010734,1,0
1010736,1,0
1010740,1,0
1010753,1,0
1010792,1,0
1010793,1,0
1010811,1,0
1010871,1,0
1010873,1,0
1010897,1,0
1010919,1,0
1010932,1,0
1010935,1,0
1010937,1,0
1010975,1,0
1010996,1,0
1011029,1,0
1011046,1,0
1011050,1,0
1011053,1,0
1011060,1,0
1011156,1,0
1011201,1,0
1011202,1,0
1011237,1,0
1011259,1,0
1011266,1,0
1011272,1,0
1011275,1,0
1011293,1,0
1011306,1,0
1011335,1,0
1011394,1,0
1011401,1,0
1011409,1,0
1011411,1,0
1011441,1,0
1011442,1,0
1011477,1,0
1011481,1,0
1011498,1,0
1011506,1,0
1011513,1,0
1011534,1,0
1011553,1,0
1011573,1,0
1011637,1,0
1011728,1,0
1011732,1,0
1011743,1,0
1011805,1,0
1011816,1,0
1011817,1,0
1011826,1,0
1011858,1,0
1011869,1,0
1011880,1,0
1011893,1,0
1011904,1,0
1011925,1,0
1011928,1,0
1011984,1,0
1012021,1,0
1012022,1,0
1012093,1,0
1012115,1,0
1012120,1,0
1012122,1,0
1012136,1,0
1012175,1,0
1012221,1,0
1012224,1,0
1012229,1,0
1012247,1,0
1012254,1,0
1012262,1,0
1012281,1,0
1012310,1,0
1012314,1,0
1012350,1,0
1012359,1,0
1012374,1,0
1012382,1,0
1012414,1,0
1012417,1,0
1012420,1,0
1012483,1,0
1012507,1,0
1012530,1,0
1012548,1,0
1012554,1,0
1012557,1,0
1012562,1,0
1012563,1,0
1012574,1,0
1012582,1,0
1012599,1,0
1012608,1,0
1012617,1,0
1012634,1,0
1012657,1,0
1012671,1,0
1012676,1,0
1012677,1,0
1012684,1,0
1012708,1,0
1012715,1,0
1012777,1,0
1012786,1,0
1012787,1,0
1012796,1,0
1012809,1,0
1012863,1,0
1012869,1,0
1012881,1,0
1012929,1,0
1012949,1,0
1012957,1,0
1012978,1,0
1012996,1,0
1013019,1,0
1013064,1,0
1013066,1,0
1013068,1,0
1013073,1,0
1013153,1,0
1013162,1,0
1013168,1,0
1013236,1,0
1013263,1,0
1013274,1,0
1013275,1,0
1013318,1,0
1013334,1,0
1013339,1,0
1013348,1,0
1013360,1,0
1013381,1,0
1013422,1,0
1013468,1,0
1013471,1,0
1013473,1,0
1013491,1,0
1013493,1,0
1013537,1,0
1013566,1,0
1013582,1,0
1013648,1,0
1013655,1,0
1013660,1,0
1013704,1,0
1013750,1,0
1013777,1,0
1013800,1,0
1013833,1,0
1013875,1,0
1013878,1,0
1013932,1,0
1013933,1,0
1013969,1,0
1013978,1,0
1013981,1,0
1014006,1,0
1014013,1,0
1014027,1,0
1014052,1,0
1014057,1,0
1014063,1,0
1014093,1,0
1014096,1,0
1014151,1,0
1014170,1,0
1014188,1,0
1014262,1,0
1014290,1,0
1014331,1,0
1014334,1,0
1014348,1,0
1014371,1,0
1014374,1,0
1014377,1,0
1014408,1,0
1014426,1,0
1014428,1,0
1014435,1,0
1014471,1,0
1014503,1,0
1014533,1,0
1014534,1,0
1014564,1,0
1014575,1,0
1014655,1,0
1014660,1,0
1014673,1,0
1014713,1,0
1014744,1,0
1014766,1,0
1014791,1,0
1014796,1,0
1014813,1,0
1014818,1,0
1014895,1,0
1014944,1,0
1014956,1,0
1014958,1,0
1014970,1,0
1014973,1,0
1014988,1,0
1014992,1,0
1014995,1,0
1015014,1,0
1015016,1,0
1015030,1,0
1015036,1,0
1015048,1,0
1015052,1,0
1015077,1,0
1015096,1,0
1015101,1,0
1015111,1,0
1015135,1,0
1015144,1,0
1015163,1,0
1015172,1,0
1015182,1,0
1015206,1,0
1015221,1,0
1015310,1,0
1015314,1,0
1015344,1,0
1015356,1,0
1015364,1,0
1015368,1,0
1015375,1,0
1015388,1,0
1015395,1,0
1015399,1,0
1015407,1,0
1015416,1,0
1015442,1,0
1015476,1,0
1015477,1,0
1015481,1,0
1015504,1,0
1015514,1,0
1015543,1,0
1015549,1,0
1015565,1,0
1015592,1,0
1015622,1,0
1015633,1,0
1015649,1,0
1015685,1,0
1015689,1,0
1015708,1,0
1015745,1,0
1015749,1,1
1015765,1,0
1015786,1,0
1015788,1,0
1015795,1,0
1015797,1,0
1015836,1,0
1015843,1,0
1015847,1,0
1015877,1,0
1015881,1,0
1015883,1,0
1015893,1,0
1015921,1,0
1016013,1,0
1016019,1,0
1016020,1,0
1016034,1,0
1016059,1,0
1016081,1,0
1016123,1,0
1016130,1,0
1016172,1,0
1016178,1,0
1016238,1,0
1016254,1,0
1016268,1,0
1016287,1,0
1016305,1,0
1016311,1,0
1016324,1,0
1016333,1,0
1016334,1,0
1016336,1,0
1016342,1,0
1016344,1,0
1016391,1,0
1016399,1,0
1016422,1,0
1016428,1,0
1016448,1,0
1016458,1,0
1016468,1,0
1016477,1,1
1016492,1,0
101653,1,0
1016538,1,0
1016587,1,0
1016590,1,1
1016619,1,0
1016663,1,0
1016671,1,0
1016673,1,0
1016682,1,0
1016698,1,0
1016733,1,0
1016751,1,0
1016798,1,0
1016800,1,0
1016814,1,0
1016848,1,0
1016850,1,0
1016864,1,0
1016869,1,0
1016920,1,0
1016924,1,0
1016931,1,0
1016961,1,0
1016974,1,0
1016979,1,1
1016989,1,0
1016990,1,0
1016994,1,0
1017007,1,0
1017012,1,0
1017015,1,0
1017041,1,0
1017042,1,0
1017048,1,0
1017052,1,0
1017068,1,0
1017075,1,0
1017084,1,0
1017094,1,0
1017129,1,0
1017143,1,0
1017259,1,0
1017270,1,0
1017272,1,0
1017301,1,0
1017308,1,0
1017345,1,0
1017365,1,0
1017369,1,0
1017395,1,0
1017398,1,0
1017440,1,0
1017461,1,0
1017481,1,0
1017485,1,0
1017494,1,0
1017508,1,1
1017539,1,0
1017545,1,0
1017549,1,0
1017554,1,0
1017590,1,0
1017718,1,0
1017737,1,0
1017830,1,0
1017831,1,0
1017861,1,0
1017874,1,0
1017912,1,0
1017947,1,0
1017960,1,0
1018033,1,0
1018052,1,0
1018057,1,0
1018079,1,0
1018086,1,0
1018091,1,0
1018142,1,0
1018178,1,0
1018202,1,0
1018211,1,0
1018278,1,0
1018283,1,0
1018325,1,0
1018337,1,0
101837,1,0
1018390,1,0
1018403,1,0
1018416,1,0
1018430,1,0
1018455,1,0
1018475,1,0
1018534,1,0
1018553,1,0
1018556,1,0
1018576,1,0
1018628,1,0
1018630,1,0
1018634,1,0
1018657,1,0
1018658,1,0
1018683,1,0
1018700,1,0
1018713,1,0
1018730,1,0
1018799,1,0
1018800,1,0
1018816,1,0
1018860,1,0
1018879,1,0
1018941,1,0
1018966,1,0
1018975,1,0
1018978,1,0
1018987,1,0
1019007,1,0
1019063,1,0
1019066,1,0
1019082,1,0
1019104,1,0
1019112,1,0
1019121,1,0
1019128,1,0
1019131,1,0
1019134,1,0
1019141,1,0
1019162,1,0
1019183,1,0
1019204,1,0
1019250,1,0
1019265,1,0
1019268,1,0
1019270,1,0
1019324,1,0
1019380,1,0
1019387,1,0
1019389,1,0
1019403,1,0
1019404,1,0
1019420,1,0
1019428,1,0
1019444,1,0
1019453,1,0
1019484,1,0
1019486,1,0
1019522,1,0
1019550,1,0
1019580,1,0
1019594,1,0
1019610,1,0
1019675,1,0
1019678,1,0
1019680,1,0
1019686,1,0
1019703,1,0
1019725,1,0
1019764,1,0
1019774,1,0
1019784,1,0
1019796,1,0
1019814,1,0
1019830,1,0
1019848,1,0
1019892,1,0
1019893,1,0
1019894,1,0
1019906,1,0
1019907,1,0
1019939,1,0
1019945,1,0
1019973,1,0
1019983,1,0
1019989,1,0
1020022,1,0
1020025,1,0
1020026,1,0
1020061,1,0
1020111,1,0
1020116,1,0
1020132,1,0
1020147,1,0
1020155,1,0
1020173,1,0
1020189,1,0
1020195,1,0
1020214,1,0
1020218,1,0
1020238,1,0
1020253,1,0
1020272,1,0
1020290,1,0
1020299,1,0
1020303,1,0
1020310,1,0
1020326,1,0
1020342,1,0
1020361,1,0
1020363,1,0
1020377,1,0
1020379,1,0
1020390,1,0
1020408,1,0
1020411,1,0
1020452,1,0
1020457,1,0
1020543,1,0
1020586,1,0
1020588,1,0
1020600,1,0
1020622,1,0
1020635,1,0
1020663,1,0
1020704,1,0
1020710,1,0
1020742,1,0
1020756,1,1
1020770,1,0
1020811,1,0
1020814,1,0
1020829,1,0
1020857,1,0
1020859,1,0
1020877,1,0
1020882,1,0
1020885,1,0
1020894,1,0
1020920,1,0
1020945,1,0
1021000,1,0
1021001,1,0
1021019,1,0
1021027,1,0
1021033,1,0
1021056,1,0
1021058,1,0
1021064,1,0
1021071,1,0
1021080,1,0
1021083,1,0
1021098,1,0
1021105,1,0
1021116,1,0
1021155,1,0
1021225,1,0
1021247,1,0
1021301,1,0
1021314,1,0
1021335,1,0
1021337,1,0
1021377,1,0
1021407,1,0
1021425,1,0
1021426,1,0
1021434,1,0
1021465,1,0
1021491,1,0
1021515,1,0
1021517,1,0
1021518,1,0
1021555,1,0
1021577,1,0
1021598,1,0
1021608,1,0
1021616,1,0
1021652,1,0
1021659,1,0
1021660,1,0
1021682,1,0
1021696,1,0
1021722,1,0
1021763,1,0
1021782,1,0
1021783,1,0
1021793,1,0
1021818,1,0
1021827,1,0
1021842,1,0
1021844,1,0
1021855,1,0
1021867,1,0
1021882,1,0
1021883,1,0
1021922,1,0
1021923,1,0
1021970,1,0
1021975,1,0
1021980,1,0
1021991,1,0
1021992,1,0
1021999,1,0
102200,1,0
1022006,1,0
1022042,1,0
1022052,1,0
1022100,1,0
1022143,1,0
1022163,1,0
1022195,1,0
1022202,1,0
1022203,1,0
1022210,1,0
1022211,1,0
1022220,1,0
1022245,1,0
1022280,1,0
1022304,1,0
1022334,1,0
1022351,1,0
1022358,1,0
1022387,1,0
1022392,1,0
1022398,1,0
1022406,1,0
1022456,1,0
1022462,1,0
1022470,1,0
1022478,1,0
1022527,1,0
1022538,1,0
1022539,1,0
1022551,1,0
1022590,1,0
1022604,1,0
1022606,1,0
1022614,1,0
1022642,1,0
1022647,1,0
1022666,1,0
1022668,1,0
1022669,1,0
1022670,1,0
1022696,1,0
1022708,1,0
1022732,1,0
1022757,1,0
1022765,1,0
1022814,1,0
1022820,1,0
1022823,1,0
1022826,1,0
1022835,1,0
1022851,1,0
1022953,1,0
1023000,1,0
1023009,1,0
1023045,1,0
1023053,1,0
1023059,1,0
1023065,1,0
1023101,1,0
1023142,1,0
1023183,1,0
1023185,1,0
1023188,1,0
1023211,1,0
1023225,1,0
1023251,1,0
1023268,1,0
1023275,1,0
1023289,1,0
1023309,1,0
1023313,1,0
1023316,1,0
1023326,1,0
1023354,1,0
1023358,1,0
1023397,1,0
1023403,1,0
1023408,1,0
1023441,1,0
1023455,1,0
1023467,1,0
1023470,1,0
1023489,1,0
1023545,1,0
1023568,1,0
1023569,1,0
1023575,1,0
1023584,1,0
1023632,1,0
1023684,1,0
1023701,1,0
1023703,1,0
1023732,1,0
1023737,1,0
1023759,1,0
1023775,1,0
1023783,1,0
1023795,1,0
1023841,1,0
1023865,1,0
1023882,1,0
1023889,1,0
1023926,1,0
1023941,1,0
1023945,1,0
1024003,1,0
1024076,1,0
1024079,1,0
102412,1,0
1024142,1,0
1024152,1,0
1024182,1,0
1024191,1,0
1024225,1,0
1024228,1,0
1024260,1,0
1024269,1,0
1024271,1,0
1024274,1,0
1024308,1,0
1024310,1,0
1024320,1,0
1024381,1,0
1024395,1,0
1024424,1,0
1024438,1,0
1024446,1,0
1024447,1,0
1024459,1,0
1024473,1,0
1024478,1,0
1024499,1,0
1024504,1,0
1024512,1,0
1024523,1,0
1024548,1,0
1024550,1,0
1024569,1,0
1024602,1,0
1024614,1,0
1024640,1,0
1024643,1,0
1024649,1,0
1024656,1,0
1024669,1,0
1024677,1,0
1024732,1,0
1024771,1,0
1024772,1,0
1024800,1,0
1024822,1,0
1024824,1,0
1024837,1,0
1024857,1,0
1024858,1,0
1024873,1,0
1024886,1,0
1024914,1,0
1024959,1,0
1024961,1,0
1024994,1,0
1024995,1,0
1025010,1,0
1025075,1,0
1025106,1,0
1025110,1,0
1025137,1,0
1025162,1,0
1025170,1,0
1025223,1,0
1025251,1,0
1025259,1,0
1025272,1,0
1025299,1,0
1025380,1,0
1025421,1,0
1025448,1,0
1025491,1,0
1025496,1,0
1025525,1,0
1025528,1,0
1025540,1,0
1025546,1,0
1025560,1,0
1025564,1,0
1025569,1,0
1025590,1,0
1025607,2,0
1025624,1,0
1025628,1,0
1025633,1,0
1025652,1,0
1025693,1,0
1025706,1,0
1025762,1,0
1025788,1,0
1025799,1,0
1025826,1,0
1025862,1,0
1025908,1,0
1025930,1,0
1025935,1,0
1025992,1,0
1026006,1,0
1026022,1,0
1026035,1,0
1026053,1,0
1026054,1,0
1026089,1,0
1026103,1,0
1026260,1,0
1026292,1,0
1026313,1,0
1026338,1,0
1026467,1,0
1026484,1,0
1026492,1,0
1026505,1,0
1026507,1,0
1026541,1,0
1026543,1,0
1026565,1,0
1026586,1,0
1026588,1,0
1026600,1,0
1026674,1,0
1026707,1,0
1026750,1,0
1026802,1,1
1026823,1,0
1026825,1,0
1026834,1,0
1026835,1,0
1026843,1,0
1026860,1,0
1026916,1,0
1026922,1,0
1026961,1,0
1026964,1,0
1026975,1,0
1027031,1,0
1027065,1,0
1027093,1,0
1027102,1,0
1027109,1,0
1027142,1,0
1027200,1,0
1027237,1,0
1027269,1,0
1027271,1,0
1027279,1,0
1027328,1,0
1027366,1,0
1027396,1,0
1027407,1,0
1027410,1,0
1027421,1,0
1027427,1,0
1027436,1,0
1027461,1,0
1027526,1,0
1027527,1,0
1027534,1,0
1027545,1,0
1027551,1,0
1027569,1,0
1027600,1,0
1027604,1,0
1027646,1,0
1027652,1,0
1027655,1,0
1027673,1,0
1027682,1,0
1027690,1,0
1027695,1,0
1027715,1,0
1027716,1,0
1027735,1,0
1027750,1,0
1027755,1,0
1027761,1,0
1027777,1,0
1027805,1,0
1027831,1,0
1027833,1,0
1027853,1,0
1027900,1,0
1027909,1,0
1027937,1,0
1027942,1,0
1027947,1,0
1027969,1,0
1028005,1,0
1028007,1,0
1028009,1,0
1028019,1,0
102802,1,0
1028070,1,0
1028101,1,0
1028106,1,0
1028131,1,0
1028137,1,0
1028144,1,0
1028187,1,0
1028222,1,0
1028259,1,0
1028308,1,0
1028310,1,0
1028381,1,0
1028500,1,0
1028515,1,0
1028541,1,0
1028548,1,0
1028582,1,0
1028605,1,0
1028642,1,0
1028656,1,0
1028726,1,0
1028745,1,0
1028746,1,0
1028752,1,0
1028758,1,0
1028775,1,0
1028788,1,0
1028799,1,0
1028807,1,0
1028817,1,0
1028842,1,0
1028863,1,0
1028890,1,0
1028915,1,0
1028931,1,0
1028999,1,0
1029052,1,0
1029058,1,0
1029084,1,0
1029086,1,0
1029091,1,0
1029104,1,0
1029111,1,0
1029128,1,0
1029161,1,0
1029168,1,0
1029198,1,0
1029221,1,0
1029223,1,0
1029237,1,0
1029247,1,0
1029287,1,0
102931,1,0
1029372,1,0
1029393,1,0
1029409,1,0
1029417,1,0
1029418,1,0
1029447,1,0
1029508,1,0
1029515,1,0
1029536,1,0
1029542,1,0
1029546,1,0
1029565,1,0
1029596,1,0
1029600,1,0
1029605,1,0
1029606,1,0
1029645,1,0
1029651,1,0
1029657,1,0
1029665,1,0
1029769,1,0
1029842,1,0
1029851,1,0
1029872,1,0
1029873,1,0
1029882,1,0
1029894,1,0
1029946,1,0
1029953,1,0
1029965,1,0
1029969,1,0
1029976,1,0
1029999,1,0
1030014,1,0
1030026,1,0
1030037,1,0
1030043,1,0
1030090,1,0
1030105,1,0
1030106,1,0
1030134,1,0
1030141,1,0
1030153,1,0
1030211,1,0
1030213,1,0
1030254,1,0
1030277,1,0
1030282,1,0
1030293,1,0
1030318,1,0
1030331,1,0
1030358,1,0
1030365,1,0
1030375,1,0
1030383,1,0
1030390,1,0
1030391,1,0
1030398,1,0
1030439,1,0
1030469,1,0
1030524,1,0
1030529,1,0
1030531,1,0
1030569,1,0
1030570,1,0
1030593,1,0
1030594,1,0
1030598,1,0
1030606,1,0
1030609,1,0
1030642,1,1
1030644,1,0
1030669,1,0
1030679,1,0
1030681,1,0
1030763,1,0
1030771,1,0
1030828,1,0
1030831,1,0
1030849,1,0
1030867,1,0
1030885,1,0
1030908,1,0
1030909,1,0
1030930,1,0
1030949,1,0
1030995,1,0
1031011,1,0
1031014,1,0
1031021,1,0
1031023,1,0
1031037,1,0
1031046,1,0
1031050,1,0
1031061,1,0
1031096,1,0
1031107,1,0
1031194,1,0
1031201,1,0
1031207,1,0
1031210,1,0
1031213,1,0
1031244,1,0
1031300,1,0
1031305,1,0
1031346,1,0
1031379,1,0
103139,1,0
1031400,1,0
1031414,1,0
1031418,1,0
1031442,1,0
1031448,1,0
1031562,1,0
1031573,1,0
1031580,1,0
1031677,1,0
1031699,1,0
1031701,1,0
1031709,1,0
1031716,1,0
1031726,1,0
1031729,1,0
1031802,1,0
1031866,1,0
1031880,1,0
1031885,1,0
1031906,1,0
1031939,1,0
1031951,1,0
1031954,1,0
1031955,1,0
1031968,1,0
1032016,1,0
1032029,1,0
1032064,1,0
1032123,1,0
1032130,1,0
1032133,1,0
1032136,1,0
1032182,1,0
1032209,1,0
1032218,1,0
1032261,1,0
1032285,1,0
1032292,1,0
1032300,1,0
1032318,1,0
1032326,1,0
1032334,1,0
1032340,1,0
1032350,1,0
1032367,1,0
1032372,1,0
1032413,1,0
1032426,1,0
1032429,1,0
1032437,1,0
1032446,1,0
1032452,1,0
1032469,1,0
1032499,1,0
1032535,1,0
1032567,1,0
1032646,1,0
1032653,1,0
1032672,1,0
1032708,1,0
1032744,1,0
1032748,1,0
1032754,1,0
1032801,1,0
1032814,1,0
1032869,1,0
1032954,1,0
1032989,1,0
1033043,1,0
1033086,1,0
1033096,1,0
1033137,1,0
1033187,1,0
1033188,1,0
1033225,1,0
1033277,1,0
1033284,1,0
1033308,1,0
1033331,1,0
1033332,1,0
1033340,1,0
1033356,1,0
1033382,1,0
1033398,1,0
1033474,1,0
1033524,1,0
1033539,1,0
1033567,1,0
1033568,1,0
1033579,1,0
1033583,1,0
1033604,1,0
1033619,1,0
1033643,1,0
1033688,1,0
1033723,1,0
1033726,1,0
1033735,1,0
1033770,1,0
1033773,1,0
1033774,1,0
1033805,1,0
1033813,1,0
1033814,1,0
1033819,1,0
1033830,1,0
1033850,1,0
1033857,1,0
1033868,1,0
1033873,1,0
1033892,1,0
1033904,1,0
1033929,1,0
1033940,1,1
1033954,1,0
1033958,1,0
1033990,1,0
1033993,1,0
1034031,1,0
1034048,1,0
1034072,1,0
1034082,1,0
1034087,1,0
1034089,1,0
1034103,1,0
1034120,1,0
1034147,1,0
1034162,1,0
1034170,1,0
1034204,1,0
1034208,1,0
1034251,1,0
1034278,1,0
1034347,1,0
1034378,1,0
1034391,1,0
1034398,1,0
1034441,1,0
1034499,1,0
1034521,1,0
1034596,1,0
1034600,1,0
1034603,1,0
1034615,1,0
1034630,1,0
1034633,1,0
1034636,1,0
1034647,1,0
1034666,1,0
1034675,1,0
1034695,1,0
1034716,1,0
1034722,1,0
1034752,1,0
1034763,1,0
1034795,1,0
1034796,1,0
1034808,1,0
1034811,1,0
1034832,1,0
1034902,1,0
1034903,1,0
1034919,1,0
1035039,1,0
1035046,1,0
1035050,1,0
1035053,1,0
1035060,1,0
1035072,1,0
1035087,1,0
1035125,1,0
1035126,1,0
1035168,1,0
1035181,1,0
1035185,1,0
1035188,1,0
1035191,1,0
1035203,1,0
